id,title_romaji,title_english,average_score,genres,start_year,status,chapters,volumes,staff_names
98842,Jibaku Shounen Hanako-kun,Toilet-Bound Hanako-kun,84,"Action, Comedy, Drama, Mystery, Romance, Supernatural",2014,RELEASING,,,"AidaIro, Tania Biswas, Alethea Nibley, Nicole Dochych, Athena Nibley, Benjamin Moro, Jesse Moriarty, Davide Campari, Kimberly Pham, Luciane Yasawa, Selene Kanagawa, Độc giả, Justyna Harasimiuk-Latoś, Etsuko Tabuchi, Florian Weitschies"
86890,BLUE GIANT,Blue Giant,84,"Drama, Music, Slice of Life",2013,FINISHED,80.0,10.0,"Shinichi Ishizuka, Daniel Komen, Ludwig Sacramento, Luise Steggewentz, Anne-Sophie Thevenon, Anne Demars"
33006,JoJo no Kimyou na Bouken: Diamond wa Kudakenai,JoJo's Bizarre Adventure Part 4: Diamond is Unbreakable,84,"Action, Adventure, Mystery, Supernatural",1992,FINISHED,174.0,18.0,"Kei Sanbe, Hirohiko Araki, Nathan Collins, Karen Hayashida, Hisashi Sasaki, Pablo Tschopp, Masato Naka, Sascha Mandler, Katsuhiko Kaito, Kouji Kitahara, Danilo de Assis"
30664,AKIRA,Akira,84,"Action, Horror, Psychological, Sci-Fi",1982,FINISHED,120.0,6.0,"Katsuhiro Ootomo, Satoshi Kon, Yasumitsu Suetake, Satoshi Takabatake, Marc Bernabé, Yoko Umezawa, Paweł Dybała, Drik Sada, Erika Huang, María Ferrer, Sylvain Chollet, Hinoko, Djamel Rabahi, Bakayaro!, Alp İlkkurşun, Cassius Medaur"
143842,Nekosogi Radical,,84,"Action, Drama, Psychological, Supernatural",2005,FINISHED,24.0,3.0,"NISIOISIN, Take"
86238,Kono Subarashii Sekai ni Shukufuku wo!,Konosuba: God's Blessing on This Wonderful World!,84,"Adventure, Comedy, Ecchi, Fantasy, Romance",2013,FINISHED,127.0,17.0,"Kurone Mishima, Natsume Akatsuki, Kevin Steinbach"
63327,Tokyo Ghoul,Tokyo Ghoul,84,"Action, Horror, Mystery, Psychological, Supernatural",2011,FINISHED,144.0,14.0,"Sui Ishida, Edith  Belarra, Joanna Kochanowska, Roberto Pesci, Fernando Mucioli, Akiko Indei, Pierre Fernande, Junpei Matsuo, Dong-Uk Kang, Karolina Dwornik, Kouta Shugyo, Diógenes Dih, Siyu Lai"
45547,Kiichi VS,Kiichi VS,84,"Drama, Psychological",2007,FINISHED,111.0,11.0,"Hideki Arai, Patrick Honnoré"
106726,Shimeji Simulation,,84,"Comedy, Psychological, Slice of Life",2019,FINISHED,49.0,5.0,Tsukumizu
74227,Tsukimonogatari,Tsukimonogatari: Possession Tale,84,"Comedy, Mystery, Psychological, Supernatural",2012,FINISHED,19.0,1.0,"NISIOISIN, VOFAN, Daniel Joseph"
